City,Labor Force,Employment,Unemployment Number,Unemployment Rate
Sacramento,"236,000","226,600","9,400",4.0%
Vineyard,"13,200","12,800",400,2.9%
Walnut Grove,700,700,0,6.1%
Wilton,"2,400","2,400",0,1.6%
Aromas  (Monterey Co),"1,500","1,500",100,4.7%
Boronda,400,400,0,1.6%
Bradley,100,100,0,2.3%
Carmel by the Sea,"1,700","1,700",0,0.1%
Carmel Valley Village,"2,600","2,500",100,5.3%
Castroville,"3,600","3,300",300,8.4%
Chualar,800,700,0,5.5%
Del Monte Forest,"1,800","1,700",100,7.1%
Del Rey Oaks,"1,000","1,000",0,4.3%
Elkhorn,700,700,0,0.0%
Gonzales,"4,200","4,100",0,1.1%
Greenfield,"8,400","8,000",400,4.7%
King,"6,700","6,300",300,4.7%
Las Lomas,"2,300","2,200",100,5.7%
Marina,"13,400","12,900",500,3.5%
Monterey,"16,700","16,200",500,3.2%
Moss Landing,100,100,0,0.0%
Pacific Grove,"9,200","8,900",300,3.1%
Pajaro,"1,900","1,600",300,13.7%
Prunedale,"12,700","12,200",600,4.5%
Salinas,"83,800","79,600","4,200",5.0%
San Ardo,200,200,0,1.0%
San Lucas,200,100,0,12.3%
